Rating,Price,Original_Price,Discount,Page,Brand,Model,number_of_ratings,number_of_reviews,RAM,Internal_storage
4.5,31999,34999,8%,7,Nothing, 256 GB,12325,934,8,256
4.5,26996,26999,20%,7,OnePlus, Nord CE5,6204,343,8,256
4.4,39999,49999,20%,7,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,7,Google, Pixel 9A,4870,334,8,256
4.5,24998,24999,20%,7,OnePlus, Nord CE5,6204,343,8,128
4.5,24995,24999,20%,7,OnePlus, Nord CE5,6204,343,8,128
4.4,39999,49999,20%,7,Google, Pixel 9A,4870,334,8,256
4.4,33999,36999,8%,7,Nothing, 256 GB,7302,442,12,256
4.3,8199,10999,25%,7,realme, 128 GB,21839,790,6,128
4.5,27999,32999,15%,7,vivo, T4 Pro,12488,793,8,128
4.5,29999,34999,14%,7,vivo, T4 Pro,12488,793,8,256
4.5,29999,34999,14%,7,vivo, T4 Pro,12488,793,8,256
4.5,27999,32999,15%,7,vivo, T4 Pro,12488,793,8,128
4.5,33747,34999,3%,7,OnePlus, Nord 5,1301,87,8,256
4.3,8818,11999,26%,7,vivo, 64 GB,3349,109,4,64
4.3,15499,20999,26%,7,POCO, M7 Pro,13446,1107,8,256
4.5,31999,36999,13%,7,vivo, T4 Pro,3156,224,12,256
4.5,29999,32999,9%,7,Nothing, 128 GB,12325,934,8,128
4.4,29849,45999,35%,7,Samsung, Galaxy A55,6017,358,8,256
4.6,79900,49999,20%,7,Apple, iPhone 16,198933,6344,256,128
4.3,8976,11999,25%,7,vivo, 64 GB,3349,109,4,64
4.4,18999,20999,9%,7,MOTOROLA, G96 5G,79957,4017,8,128
4.5,21999,24999,12%,7,OPPO, K13 5G,73405,4402,8,256
4.2,13999,17499,20%,7,Samsung, Galaxy F16,10029,578,6,128
4.3,8199,10999,25%,8,realme, 128 GB,21839,790,6,128
4.4,33999,36999,8%,8,Nothing, 256 GB,7302,442,12,256
4.4,39999,49999,20%,8,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,8,Google, Pixel 9A,4870,334,8,256
4.5,27999,32999,15%,8,vivo, T4 Pro,12488,793,8,128
4.5,29999,34999,14%,8,vivo, T4 Pro,12488,793,8,256
4.5,27999,32999,15%,8,vivo, T4 Pro,12488,793,8,128
4.5,29999,34999,14%,8,vivo, T4 Pro,12488,793,8,256
4.4,39999,49999,20%,8,Google, Pixel 9A,4870,334,8,256
4.5,33747,34999,3%,8,OnePlus, Nord 5,1301,87,8,256
4.3,8818,11999,26%,8,vivo, 64 GB,3349,109,4,64
4.3,15499,20999,26%,8,POCO, M7 Pro,13446,1107,8,256
4.4,29849,45999,35%,8,Samsung, Galaxy A55,6017,358,8,256
4.6,79900,49999,20%,8,Apple, iPhone 16,198933,6344,256,128
4.5,29999,32999,9%,8,Nothing, 128 GB,12325,934,8,128
4.5,31999,36999,13%,8,vivo, T4 Pro,3156,224,12,256
4.3,8976,11999,25%,8,vivo, 64 GB,3349,109,4,64
4.4,18999,20999,9%,8,MOTOROLA, G96 5G,79957,4017,8,128
4.6,79900,49999,20%,8,Apple, iPhone 16,198933,6344,256,128
4.4,20999,27999,25%,8,Motorola, Edge 50,172252,11415,12,256
4.2,13999,17499,20%,8,Samsung, Galaxy F16,10029,578,6,128
4.4,18999,20999,9%,8,MOTOROLA, G96 5G,79957,4017,8,128
4.5,21999,24999,12%,8,OPPO, K13 5G,73405,4402,8,256
4.3,29999,36999,18%,8,MOTOROLA, Edge 60,43109,3210,8,256
4.0,11974,15499,22%,9,Samsung, M06 5G,702,52,6,128
3.9,6799,8999,24%,9,POCO, 64 GB,54664,2462,4,64
4.3,13499,18999,28%,9,POCO, M7 Pro,34877,2523,6,128
4.5,31999,36999,13%,9,vivo, T4 Pro,3156,224,12,256
4.4,39999,49999,20%,9,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,9,Google, Pixel 9A,4870,334,8,256
4.6,79900,49999,20%,9,Apple, iPhone 16,198933,6344,256,128
4.3,8794,10999,20%,9,realme, Narzo 80,1239,66,6,128
4.4,39999,49999,20%,9,Google, Pixel 9A,4870,334,8,256
4.3,7999,9999,20%,9,MOTOROLA, g06 power,3685,252,4,64
4.4,19898,20999,5%,9,OnePlus, Nord CE4,36094,1676,8,128
4.0,6999,9999,30%,9,Ai, 128 GB,4818,303,6,128
4.4,37999,42999,11%,9,MOTOROLA, Edge 60,2249,166,16,512
4.3,8199,10999,25%,9,realme, 128 GB,21839,790,6,128
4.4,33999,36999,8%,9,Nothing, 256 GB,7302,442,12,256
4.1,9999,12999,23%,9,POCO, M7 5G,70470,3269,6,128
4.1,8499,9499,10%,9,LAVA, Shark 5G,280,13,4,64
4.3,13499,18999,28%,9,POCO, M7 Pro,34877,2523,6,128
4.4,16682,18999,12%,9,IQOO, Z10X 5G,4695,221,8,128
4.3,8980,10999,18%,9,REDMI, 64 GB,13336,566,4,64
4.3,25999,31999,18%,9,MOTOROLA, Edge 60,5671,398,12,256
4.4,18982,20499,7%,9,IQOO, Z10X 5G,4695,221,8,256
4.5,13999,16999,17%,9,OPPO, K13x 5G,81016,6010,6,128
4.4,16459,18999,13%,9,IQOO, Z10X 5G,4695,221,8,128
4.4,39999,49999,20%,10,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,10,Google, Pixel 9A,4870,334,8,256
4.5,45999,65999,30%,10,Samsung, Galaxy S24,72721,4641,8,256
4.5,45999,65999,30%,10,Samsung, Galaxy S24,72721,4641,8,256
4.4,39999,49999,20%,10,Google, Pixel 9A,4870,334,8,256
4.3,16999,24999,32%,10,POCO, X7 5G,28239,2138,8,128
4.2,10999,13999,21%,10,Samsung, Galaxy F06,38028,2243,4,1500
4.3,13999,16999,17%,10,POCO, M7 Plus,5361,295,6,128
4.3,11999,14999,20%,10,Motorola, g45 5G,250100,12376,8,128
4.3,14999,17999,16%,10,POCO, M7 Plus,3364,193,8,128
4.2,7397,9999,26%,10,Samsung, Galaxy M07,22,0,4,64
4.0,6999,9999,30%,10,Ai, 128 GB,4818,303,6,128
