Rating,Price,Original_Price,Discount,Page,Brand,Model,number_of_ratings,number_of_reviews,RAM,Internal_storage
4.4,29999,33999,11%,34,OPPO, F31 Pro,640,52,8,256
4.4,27999,31999,12%,34,vivo, Y400 Pro,1285,68,8,256
4.1,10690,15499,31%,34,Samsung, Galaxy A06,2505,149,4,128
4.3,24999,27999,10%,34,OPPO, F31 5G,1366,72,8,128
4.4,15499,17999,13%,34,vivo, Y29 5G,2183,85,6,128
4.2,16449,22999,28%,34,REDMI, Note 14,3812,212,8,128
4.1,7599,7799,2%,34,LAVA, 64 GB,200,8,4,256
4.4,8199,11999,31%,34,REDMI, 9 Prime,230816,15105,4,512
4.4,26998,38998,30%,34,realme, 13 Pro,10465,968,12,256
4.3,12499,13999,10%,34,Infinix, Hot 60,2705,152,6,128
3.9,8999,12999,30%,34,Ai, Nova 5G,3381,301,8,128
4.2,15499,16499,6%,34,Samsung, Galaxy F17,73,5,4,128
4.3,11999,17990,33%,34,vivo, 64 GB,2487,144,4,64
4.4,39999,49999,20%,35,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,35,Google, Pixel 9A,4870,334,8,256
4.6,97999,134999,27%,35,Samsung, Galaxy S24,7439,548,12,256
4.5,32999,39999,17%,35,vivo, V50 5G,8087,654,8,128
4.4,39999,49999,20%,35,Google, Pixel 9A,4870,334,8,256
4.1,23499,27999,16%,35,Samsung, Galaxy A26,252,28,8,128
4.3,15487,17999,13%,35,Samsung, Galaxy M17,99,7,6,128
4.7,102900,49999,20%,35,Apple, iPhone 17,2978,191,512,128
4.4,18999,25999,26%,35,vivo, Y29 5G,936,43,8,256
4.4,16999,21999,22%,35,vivo, Y29 5G,936,43,8,128
4.0,6999,9999,30%,35,Ai, 128 GB,4818,303,6,128
4.2,11999,14999,20%,35,REDMI, 14C 5G,9161,450,6,128
4.2,11999,14999,20%,35,REDMI, 14C 5G,9161,450,6,128
4.2,16499,21999,25%,35,REDMI, Note 12,16094,1079,6,128
4.2,16739,19499,14%,35,Samsung, Galaxy M17,27,3,8,128
4.4,25999,29999,13%,35,vivo, Y400 Pro,1285,68,8,128
4.4,41680,52999,21%,35,Samsung, Galaxy A56,492,33,12,256
4.4,25999,29999,13%,35,vivo, Y400 Pro,1285,68,8,128
4.4,25999,29999,13%,35,vivo, Y400 Pro,1285,68,8,128
4.3,13999,16499,15%,35,vivo, Y29 5G,1036,47,4,128
4.3,22490,26499,15%,35,Samsung, Galaxy A17,313,12,8,256
4.3,12499,13999,10%,35,Infinix, Hot 60,2705,152,6,128
4.3,12499,16999,26%,35,OPPO, A5x 5G,483,14,4,128
4.3,12499,13999,10%,35,Infinix, Hot 60,2705,152,6,128
4.4,39999,49999,20%,36,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,36,Google, Pixel 9A,4870,334,8,256
4.4,40999,45999,10%,36,Samsung, Galaxy A56,698,49,8,128
4.2,12999,15499,16%,36,POCO, C85 5G,110,6,6,128
4.3,13499,18999,28%,36,vivo, 128 GB,2487,144,4,128
4.4,20999,24999,16%,36,Infinix, Note 50s,24313,2052,8,256
4.4,39999,49999,20%,36,Google, Pixel 9A,4870,334,8,256
4.8,169900,49999,20%,36,Apple, iPhone 17,416,35,512,128
3.9,6599,8999,26%,36,POCO, Locked with,54664,2462,4,64
4.4,13999,15999,12%,36,realme, 128 GB,33317,1785,8,128
4.4,30999,39999,22%,36,REDMI, Note-14,420,13,12,512
4.5,37999,48999,22%,36,vivo, V50 5G,2082,180,12,512
4.4,27499,33999,19%,36,Samsung, Galaxy M56,732,48,8,256
4.4,35598,43999,19%,36,OPPO, Reno13 5G,4915,527,8,256
4.3,13999,22999,39%,36,OPPO, 128 GB,1177,71,8,128
4.4,23999,30999,22%,36,OPPO, F29 5G,2633,142,8,256
4.2,12990,19999,35%,36,REDMI, 13 5G,14482,763,8,128
4.2,10499,12999,19%,36,REDMI, 14C 5G,8622,430,4,64
4.1,10499,12999,19%,36,Tecno, Spark 30C,1152,49,4,128
4.2,11999,14999,20%,36,REDMI, 14C 5G,9161,450,6,128
4.5,55999,60999,8%,36,vivo, V40 Pro,1167,120,12,512
4.5,34899,42999,18%,36,vivo, V50 5G,8087,654,8,256
4.5,60999,49999,20%,36,OPPO, Reno13 Pro,1025,130,12,512
4.5,60999,49999,20%,36,OPPO, Reno13 Pro,1025,130,12,512
4.2,10499,13999,25%,37,REDMI, 14C 5G,8622,430,4,128
4.3,9654,13999,31%,37,REDMI, 13c 5G,47165,1847,4,128
4.4,39999,49999,20%,37,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,37,Google, Pixel 9A,4870,334,8,256
4.3,23999,30999,22%,37,REDMI, Note-14,525,24,8,256
4.3,23999,27999,14%,37,realme, 14 Pro,741,41,8,256
4.4,39999,49999,20%,37,Google, Pixel 9A,4870,334,8,256
4.3,21999,25999,15%,37,realme, 14 Pro,741,41,8,128
4.5,34999,42999,18%,37,vivo, V50 5G,8087,654,8,256
4.4,28475,36999,23%,37,REDMI, Note-14,498,27,8,256
3.8,9495,10999,13%,37,LAVA, Yuva 2,151,10,4,128
4.6,16999,17999,5%,37,realme, C85 5G,118,7,6,0
4.6,109999,129999,15%,37,Samsung, Galaxy S25,2531,256,12,256
4.4,27999,31999,12%,37,OPPO, F31 Pro,640,52,8,128
4.2,27499,33999,19%,37,REDMI, Note 12,6715,610,8,256
4.2,16699,21499,22%,37,Samsung, Galaxy A16,3868,205,8,128
4.5,33673,42999,21%,37,vivo, V50 5G,8087,654,8,256
4.5,32998,39999,17%,37,vivo, V50 5G,8087,654,8,128
4.7,12999,15999,18%,37,vivo, Y19s 5G,16,0,4,0
4.6,15499,16499,6%,37,realme, C85 5G,191,12,4,0
4.6,15499,16499,6%,37,realme, C85 5G,191,12,4,0
4.3,17999,20999,14%,37,OPPO, A5 5G,110,2,8,128
4.3,17999,20999,14%,37,OPPO, A5 5G,110,2,8,128
4.7,73990,76999,3%,37,OnePlus, 15 5G,41,4,12,256
4.4,23999,30999,22%,38,realme, 13 Pro,8097,542,8,256
4.4,11499,16999,32%,38,realme, C67 5G,7984,528,4,128
4.4,39999,49999,20%,38,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,38,Google, Pixel 9A,4870,334,8,256
4.5,22388,23999,6%,38,realme, Narzo 80,819,41,8,256
4.5,54999,49999,20%,38,OPPO, Reno13 Pro,1025,130,12,256
4.3,16999,24999,32%,38,POCO, X7 5G,28239,2138,8,128
4.5,34990,43999,20%,38,vivo, V60 5G,2728,213,8,256
4.4,39999,49999,20%,38,Google, Pixel 9A,4870,334,8,256
4.4,32999,37999,13%,38,OPPO, F31 Pro,274,29,8,256
4.2,15999,19999,20%,38,Samsung, Galaxy A16,4222,186,6,128
4.7,11999,14999,20%,38,vivo, Y19s 5G,16,0,4,0
4.4,20999,27999,25%,38,Motorola, Edge 50,172252,11415,12,256
4.7,134900,49999,20%,38,Apple, iPhone 17,656,47,256,128
4.3,12499,17999,30%,38,REDMI, 13 5G,48634,2407,6,128
4.5,16999,49999,20%,38,OPPO, K12x 5G,192929,6677,6,128
4.2,14999,49999,20%,38,Motorola, G34 5G,149015,10007,8,128
4.4,11999,16999,29%,38,realme, C67 5G,7984,528,4,128
4.4,38947,39999,2%,38,REDMI, Note-14,420,13,12,512
4.3,34999,39999,12%,38,OPPO, F31 Pro,283,15,12,256
4.2,13999,19999,30%,38,REDMI, 13 5G,14482,763,8,128
4.2,13999,18999,26%,38,vivo, 128 GB,2846,121,6,128
4.2,12349,15999,22%,38,realme, C75 5G,1202,71,4,128
4.4,27580,36999,25%,38,REDMI, Note-14,498,27,8,256
4.3,15499,20999,26%,39,POCO, M7 Pro,13446,1107,8,256
4.0,5695,6199,8%,39,itel, 32 GB,437,20,2,32
4.3,7299,8999,18%,39,Tecno, Spark Go,6439,310,4,64
4.3,7299,8999,18%,39,Tecno, Spark Go,6439,310,4,64
4.4,39999,49999,20%,39,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,39,Google, Pixel 9A,4870,334,8,256
3.9,16999,18999,10%,39,LAVA, Blaze Duo,184,16,6,128
4.2,18896,20999,10%,39,Samsung, Galaxy A14,82749,3841,6,128
4.4,39999,49999,20%,39,Google, Pixel 9A,4870,334,8,256
4.1,9999,11999,16%,39,Tecno, Spark 30C,1152,49,4,64
4.4,18999,49999,20%,39,OPPO, K12x 5G,22590,970,8,256
4.6,99989,134999,25%,39,Samsung, Galaxy S24,7439,548,12,256
4.0,6349,7199,11%,39,LAVA, Yuva Star,1141,67,4,64
4.4,25870,34999,26%,39,REDMI, Note-14,498,27,8,128
4.4,36999,44999,17%,39,OPPO, K13 Turbo,325,34,12,256
4.4,36999,44999,17%,39,OPPO, K13 Turbo,325,34,12,256
4.4,32999,49999,20%,39,OPPO, F27 Pro,16412,698,8,128
4.5,42203,54999,23%,39,vivo, V40 Pro,1290,155,8,256
4.3,35499,38999,8%,39,Samsung, Galaxy A36,1735,134,8,256
4.3,34999,39999,12%,39,OPPO, F31 Pro,283,15,12,256
4.6,14499,16999,14%,39,POCO, C85 5G,26,3,8,128
3.9,16999,18999,10%,39,LAVA, Blaze Duo,184,16,6,128
4.3,22999,25999,11%,39,vivo, Y400 5G,551,21,8,128
4.2,18448,28999,36%,39,OPPO, F23 5G,2002,140,8,256
4.4,39999,49999,20%,40,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,40,Google, Pixel 9A,4870,334,8,256
4.4,27999,36999,24%,40,Motorola, Edge 50,34594,2987,8,256
4.7,73800,76999,4%,40,OnePlus, 15 5G,41,4,12,256
4.4,39999,49999,20%,40,Google, Pixel 9A,4870,334,8,256
4.2,6499,9999,35%,40,Samsung, Galaxy F05,77209,4138,4,64
4.2,112865,176999,36%,40,Samsung, Galaxy Z,218,13,12,512
4.2,14447,19999,27%,40,REDMI, 13 5G,263,10,8,128
4.3,19999,49999,20%,40,REDMI, Note 10,44542,3985,6,128
4.2,15999,19999,20%,40,Motorola, g64 5G,90102,5585,12,256
4.6,141999,49999,20%,40,Samsung, Galaxy S25,2531,256,12,512
4.0,12999,49999,20%,40,Motorola, 64 GB,58821,4963,4,64
4.3,27999,35999,22%,40,Samsung, Galaxy A36,1735,134,8,128
4.4,28450,36999,23%,40,REDMI, Note-14,498,27,8,256
4.3,26980,35999,25%,40,REDMI, Note 13,11929,1024,12,256
3.5,3969,4999,20%,40,nuveck, NV YUTOPIA,51,1,4,32
4.5,14040,15999,12%,40,REDMI, 15C 5G,12,0,6,128
4.3,23999,31999,25%,40,POCO, X7 Pro,16224,1708,8,256
4.3,35999,37999,5%,40,realme, 15 Pro,8234,725,8,256
4.4,37999,39999,5%,40,realme, 15 Pro,4716,378,12,256
4.3,35999,37999,5%,40,realme, 15 Pro,8234,725,8,256
4.3,33999,35999,5%,40,realme, 15 Pro,8234,725,8,128
4.4,37999,39999,5%,40,realme, 15 Pro,4716,378,12,256
4.3,12499,17999,30%,40,REDMI, 13 5G,48634,2407,6,128
4.4,39999,49999,20%,41,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,41,Google, Pixel 9A,4870,334,8,256
4.4,37999,39999,5%,41,realme, 15 Pro,4716,378,12,256
4.4,40999,42999,4%,41,realme, 15 Pro,4716,378,12,512
4.3,12499,17999,30%,41,REDMI, 13 5G,48634,2407,6,128
4.4,37999,39999,5%,41,realme, 15 Pro,4716,378,12,256
4.4,39999,49999,20%,41,Google, Pixel 9A,4870,334,8,256
4.3,35999,37999,5%,41,realme, 15 Pro,8234,725,8,256
4.3,33999,35999,5%,41,realme, 15 Pro,8234,725,8,128
4.4,37999,39999,5%,41,realme, 15 Pro,4716,378,12,256
4.4,23997,32999,27%,41,OPPO, F27 Pro,16412,698,8,128
4.2,31999,35999,11%,41,OPPO, F31 Pro,95,7,12,256
4.4,41999,49999,20%,41,OPPO, Reno13 5G,4915,527,8,128
4.4,109999,113999,3%,41,Samsung, Galaxy Z,860,50,8,512
4.7,12999,15999,18%,41,vivo, Y19s 5G,16,0,4,0
4.3,13999,49999,20%,41,vivo, Y29 5G,1036,47,4,128
4.4,16999,21999,22%,41,vivo, Y29 5G,936,43,8,128
4.7,5252,5999,12%,41,TOUCH, 18 Rock,3,1,3,16
3.9,6549,7499,12%,41,LAVA, Bold N1,62,5,4,64
4.3,24000,27499,12%,41,Samsung, Galaxy M35,5761,363,8,256
4.2,18749,28499,34%,41,Samsung, Galaxy A25,410,19,8,128
4.3,19499,21999,11%,41,Samsung, Galaxy A17,261,12,6,128
4.3,23490,28999,18%,41,REDMI, Note-14,525,24,8,128
4.4,27999,36999,24%,41,Motorola, Edge 50,34594,2987,8,256
